polarization    0.0000  0.0000  0.0000
npath  nstar
    1  0.0000
    2  0.0000
    3  0.0000
    4  0.0000
    5  0.0000
    6  0.0000
    7  0.0000
    8  0.0000
    9  0.0000
   10  0.0000
   11  0.0000
   12  0.0000
   13  0.0000
   14  0.0000
   15  0.0000
   16  0.0000
   17  0.0000
